Gene	RNA blood cell specificity	RNA cancer specificity
TTL	Low cell type specificity	Low cancer specificity
IL1A	Not detected	Cancer enhanced
CCL20	Cell type enhanced	Low cancer specificity
PIKFYVE	Low cell type specificity	Low cancer specificity
KCNIP3	Not detected	Low cancer specificity
FAHD2A	Low cell type specificity	Low cancer specificity
NCL	Low cell type specificity	Low cancer specificity
ACTR1B	Low cell type specificity	Low cancer specificity
SLC35F5	Low cell type specificity	Low cancer specificity
ZAP70	Group enriched	Low cancer specificity
ACTR3	Low cell type specificity	Low cancer specificity
STEAP3	Group enriched	Low cancer specificity
EPB41L5	Low cell type specificity	Low cancer specificity
TFCP2L1	Cell type enriched	Low cancer specificity
SF3B6	Low cell type specificity	Low cancer specificity
TP53I3	Low cell type specificity	Low cancer specificity
DNAJC27	Low cell type specificity	Low cancer specificity
POMC	Low cell type specificity	Cancer enriched
STAM2	Low cell type specificity	Low cancer specificity
OTOF	Cell type enhanced	Not detected
GPD2	Group enriched	Low cancer specificity
CENPA	Cell type enhanced	Low cancer specificity
CYTIP	Low cell type specificity	Low cancer specificity
ACVR1	Low cell type specificity	Low cancer specificity
TANC1	Cell type enriched	Low cancer specificity
SLC30A3	Not detected	Low cancer specificity
MPV17	Low cell type specificity	Low cancer specificity
GTF3C2	Low cell type specificity	Low cancer specificity
EIF2B4	Low cell type specificity	Low cancer specificity
NRBP1	Low cell type specificity	Low cancer specificity
ITGB6	Not detected	Low cancer specificity
FNDC4	Not detected	Low cancer specificity
ITGA4	Low cell type specificity	Low cancer specificity
PSMD14	Low cell type specificity	Low cancer specificity
SNX17	Low cell type specificity	Low cancer specificity
ASB3	Low cell type specificity	Low cancer specificity
PPM1G	Low cell type specificity	Low cancer specificity
PDE1A	Cell type enhanced	Cancer enhanced
REEP6	Low cell type specificity	Cancer enhanced
PCSK4	Cell type enhanced	Low cancer specificity
GCG	Not detected	Cancer enriched
APC2	Cell type enhanced	Cancer enriched
IFIH1	Low cell type specificity	Low cancer specificity
RPS15	Low cell type specificity	Low cancer specificity
GCA	Group enriched	Low cancer specificity
INO80B	Low cell type specificity	Low cancer specificity
MOGS	Low cell type specificity	Low cancer specificity
TTC31	Low cell type specificity	Low cancer specificity
NDUFS7	Low cell type specificity	Low cancer specificity
PCGF1	Low cell type specificity	Low cancer specificity
GRB14	Not detected	Low cancer specificity
CLIP4	Low cell type specificity	Low cancer specificity
TLX2	Not detected	Low cancer specificity
SPTBN1	Low cell type specificity	Low cancer specificity
AUP1	Low cell type specificity	Low cancer specificity
RTN4	Low cell type specificity	Low cancer specificity
HTRA2	Low cell type specificity	Low cancer specificity
LOXL3	Cell type enhanced	Cancer enhanced
DOK1	Low cell type specificity	Low cancer specificity
GALNT3	Low cell type specificity	Low cancer specificity
POLE4	Low cell type specificity	Low cancer specificity
TACR1	Cell type enriched	Low cancer specificity
CCDC88A	Cell type enhanced	Low cancer specificity
ACADL	Not detected	Group enriched
EVA1A	Cell type enhanced	Low cancer specificity
MRPL19	Low cell type specificity	Low cancer specificity
LANCL1	Low cell type specificity	Low cancer specificity
WDR75	Low cell type specificity	Low cancer specificity
EFEMP1	Not detected	Low cancer specificity
REG1A	Not detected	Group enriched
FANCL	Low cell type specificity	Low cancer specificity
FN1	Not detected	Cancer enhanced
STAT1	Low cell type specificity	Low cancer specificity
