Gene	RNA blood cell specificity	RNA cancer specificity
KRTAP13.4	Not detected	Not detected
FAM183A	Not detected	Cancer enhanced
EFCAB6	Cell type enhanced	Low cancer specificity
KRTAP19.5	Not detected	Not detected
KRTAP23.1	Not detected	Not detected
KANK3	Low cell type specificity	Low cancer specificity
EMID1	Cell type enriched	Cancer enhanced
ACTL7A	Not detected	Not detected
KRTAP21.1	Not detected	Not detected
RHD	Cell type enhanced	Not detected
ESPN	Group enriched	Low cancer specificity
PNLIPRP1	Not detected	Cancer enriched
PTRH1	Low cell type specificity	Not detected
KRTAP21.2	Not detected	Not detected
SAMD7	Not detected	Not detected
GPR141	Group enriched	Low cancer specificity
TMPRSS6	Cell type enhanced	Group enriched
CYP4A11	Not detected	Cancer enriched
TMEM216	Cell type enhanced	Low cancer specificity
RPS19BP1	Low cell type specificity	Low cancer specificity
TMPRSS11A	Not detected	Group enriched
TMEM262	Group enriched	Not detected
C3orf70	Low cell type specificity	Cancer enhanced
TEAD1	Not detected	Low cancer specificity
OR2AK2	Not detected	Not detected
DEFB106B	Not detected	Not detected
PLCD1	Low cell type specificity	Low cancer specificity
CCK	Not detected	Group enriched
ENTPD5	Group enriched	Cancer enhanced
MITF	Group enriched	Group enriched
HEATR4	Low cell type specificity	Not detected
NAP1L1	Low cell type specificity	Low cancer specificity
LILRA5	Group enriched	Low cancer specificity
CMC1	Cell type enhanced	Low cancer specificity
SLIT1	Cell type enhanced	Group enriched
LYPD6	Not detected	Low cancer specificity
AKR1C1	Cell type enhanced	Cancer enhanced
VSTM2B	Cell type enhanced	Cancer enhanced
FOXD3	Not detected	Group enriched
SPATA21	Cell type enhanced	Not detected
RNF220	Low cell type specificity	Low cancer specificity
ANGPTL5	Cell type enhanced	Not detected
SHTN1	Group enriched	Low cancer specificity
H1FNT	Cell type enhanced	Not detected
LCE4A	Not detected	Not detected
LCE2A	Not detected	Cancer enriched
KRTAP12.1	Not detected	Not detected
LCE2C	Not detected	Group enriched
AL162231.1	Low cell type specificity	Low cancer specificity
ZNF546	Low cell type specificity	Low cancer specificity
TSPYL4	Low cell type specificity	Low cancer specificity
DAZ3	Not detected	Not detected
MT1X	Low cell type specificity	Low cancer specificity
GCNT1	Cell type enhanced	Low cancer specificity
LCE2D	Not detected	Group enriched
SESTD1	Cell type enhanced	Low cancer specificity
LCE3B	Not detected	Not detected
FNBP1	Low cell type specificity	Low cancer specificity
DYNC2H1	Cell type enhanced	Low cancer specificity
KRT12	Not detected	Low cancer specificity
MAGED4B	Cell type enhanced	Not detected
BCAM	Not detected	Cancer enhanced
RSBN1L	Cell type enhanced	Low cancer specificity
NPSR1	Not detected	Cancer enhanced
WDR86	Cell type enhanced	Cancer enhanced
EPOR	Low cell type specificity	Low cancer specificity
FAM9C	Cell type enriched	Cancer enriched
KRTAP9.8	Not detected	Not detected
CIDEC	Cell type enhanced	Low cancer specificity
DCC	Not detected	Cancer enhanced
TAF9B	Low cell type specificity	Low cancer specificity
PCDHB13	Cell type enhanced	Low cancer specificity
MAGI2	Low cell type specificity	Cancer enhanced
LUZP2	Cell type enhanced	Group enriched
LHFPL3	Not detected	Cancer enriched
CHP1	Low cell type specificity	Low cancer specificity
FPR3	Group enriched	Low cancer specificity
HIST1H1T	Cell type enriched	Not detected
C11orf96	Not detected	Low cancer specificity
KCNJ11	Low cell type specificity	Low cancer specificity
CDHR4	Low cell type specificity	Cancer enriched
COL4A1	Cell type enhanced	Low cancer specificity
PLEKHG7	Group enriched	Low cancer specificity
GJA4	Not detected	Low cancer specificity
PTMA	Low cell type specificity	Low cancer specificity
HYPM	Not detected	Not detected
HSPA14	Low cell type specificity	Low cancer specificity
ATP13A5	Cell type enriched	Cancer enhanced
SIRT7	Cell type enriched	Low cancer specificity
PRR27	Cell type enhanced	Cancer enriched
IFT140	Cell type enhanced	Low cancer specificity
POTEG	Low cell type specificity	Cancer enhanced
PRAMEF10	Not detected	Cancer enriched
AGMO	Group enriched	Cancer enriched
SBK2	Not detected	Cancer enhanced
CYP26C1	Not detected	Not detected
TLR5	Group enriched	Low cancer specificity
USP7	Low cell type specificity	Low cancer specificity
NANOS3	Not detected	Cancer enriched
FOXD4L3	Cell type enriched	Not detected
NHLRC1	Low cell type specificity	Low cancer specificity
DPPA3	Cell type enhanced	Cancer enriched
COX8C	Cell type enhanced	Group enriched
PLEKHN1	Cell type enhanced	Low cancer specificity
ZNF385C	Cell type enriched	Low cancer specificity
MAGEH1	Low cell type specificity	Low cancer specificity
TET3	Low cell type specificity	Low cancer specificity
ZNF286A	Low cell type specificity	Low cancer specificity
ISG15	Low cell type specificity	Low cancer specificity
EXD3	Low cell type specificity	Low cancer specificity
OR5W2	Not detected	Not detected
MYMK	Not detected	Not detected
C17orf97	Cell type enhanced	Low cancer specificity
ZKSCAN4	Low cell type specificity	Low cancer specificity
RGPD1	Low cell type specificity	Not detected
DHRS4L2	Low cell type specificity	Low cancer specificity
SAMD11	Cell type enriched	Low cancer specificity
PERM1	Not detected	Low cancer specificity
VMAC	Low cell type specificity	Low cancer specificity
C5orf52	Not detected	Cancer enhanced
HAPLN4	Not detected	Not detected
ERC2	Not detected	Low cancer specificity
B3GLCT	Low cell type specificity	Low cancer specificity
SPRY4	Not detected	Low cancer specificity
ERAS	Not detected	Low cancer specificity
TRPV2	Low cell type specificity	Cancer enriched
AMTN	Not detected	Group enriched
CXorf67	Cell type enhanced	Cancer enriched
C2orf88	Group enriched	Cancer enhanced
OR2T27	Not detected	Not detected
TMEM203	Low cell type specificity	Low cancer specificity
SLC18A3	Not detected	Low cancer specificity
KBTBD12	Group enriched	Low cancer specificity
THSD4	Not detected	Low cancer specificity
DNAJB13	Low cell type specificity	Cancer enhanced
GABRD	Cell type enriched	Low cancer specificity
AMY1C	Not detected	Not detected
TCEA1	Low cell type specificity	Low cancer specificity
NHEJ1	Low cell type specificity	Low cancer specificity
FANCA	Low cell type specificity	Low cancer specificity
SECISBP2	Low cell type specificity	Low cancer specificity
OR52B6	Not detected	Not detected
C9orf153	Low cell type specificity	Not detected
SSX7	Cell type enhanced	Not detected
ADH1A	Not detected	Cancer enriched
SEMA4D	Low cell type specificity	Low cancer specificity
KRTAP10.8	Not detected	Not detected
LIN28B	Cell type enhanced	Cancer enriched
FAM69C	Not detected	Group enriched
DNAH17	Not detected	Cancer enhanced
MCRS1	Low cell type specificity	Low cancer specificity
TMEM72	Not detected	Cancer enriched
FANCM	Low cell type specificity	Low cancer specificity
FAM205C	Not detected	Not detected
ZNF70	Low cell type specificity	Low cancer specificity
CARD9	Cell type enhanced	Low cancer specificity
PEAR1	Not detected	Low cancer specificity
ZFP69B	Low cell type specificity	Low cancer specificity
TMEM202	Not detected	Cancer enriched
SOWAHD	Cell type enhanced	Cancer enriched
ZFP69	Cell type enhanced	Low cancer specificity
HELT	Not detected	Not detected
RTL4	Not detected	Group enriched
TMEM220	Low cell type specificity	Low cancer specificity
C2orf78	Not detected	Not detected
HIST1H1C	Cell type enhanced	Low cancer specificity
PLSCR3	Low cell type specificity	Low cancer specificity
EIF4EBP1	Group enriched	Low cancer specificity
P2RX2	Cell type enriched	Low cancer specificity
ASCL4	Cell type enhanced	Cancer enhanced
OR6C75	Not detected	Not detected
CCDC157	Low cell type specificity	Low cancer specificity
TTC24	Cell type enhanced	Not detected
FAM122A	Low cell type specificity	Low cancer specificity
PALM3	Low cell type specificity	Low cancer specificity
GFRAL	Cell type enhanced	Not detected
FYB2	Not detected	Low cancer specificity
SHISA7	Not detected	Cancer enriched
LRRC74B	Not detected	Not detected
DMBT1	Not detected	Group enriched
CLEC17A	Group enriched	Low cancer specificity
OR51I2	Cell type enriched	Not detected
LCN10	Group enriched	Cancer enriched
LDLRAD2	Cell type enhanced	Low cancer specificity
C2orf66	Not detected	Low cancer specificity
OVCH1	Cell type enhanced	Not detected
CYHR1	Low cell type specificity	Low cancer specificity
COL14A1	Not detected	Low cancer specificity
DNER	Cell type enhanced	Cancer enriched
CPSF4L	Cell type enhanced	Not detected
KLHL17	Low cell type specificity	Low cancer specificity
ZCCHC13	Not detected	Not detected
PLA2G2C	Low cell type specificity	Not detected
ZSCAN23	Not detected	Not detected
RINL	Low cell type specificity	Low cancer specificity
C17orf99	Cell type enhanced	Not detected
OR7D2	Low cell type specificity	Not detected
TPRG1	Low cell type specificity	Cancer enhanced
MORN2	Low cell type specificity	Low cancer specificity
RTP5	Not detected	Cancer enriched
S100A3	Group enriched	Cancer enhanced
UBQLN2	Low cell type specificity	Low cancer specificity
RILPL1	Low cell type specificity	Low cancer specificity
C19orf67	Cell type enhanced	Not detected
ZNF490	Low cell type specificity	Low cancer specificity
CLCN1	Group enriched	Low cancer specificity
NRN1L	Low cell type specificity	Not detected
NWD1	Cell type enhanced	Cancer enriched
ARL4C	Low cell type specificity	Low cancer specificity
RNF133	Not detected	Not detected
TMEM221	Cell type enhanced	Cancer enhanced
TREML4	Group enriched	Not detected
RAB42	Low cell type specificity	Low cancer specificity
WNT7B	Low cell type specificity	Low cancer specificity
C11orf95	Cell type enhanced	Low cancer specificity
SCGB1C1	Group enriched	Cancer enhanced
PRSS45	Cell type enriched	Low cancer specificity
PLA2G4E	Not detected	Cancer enhanced
GPR89B	Low cell type specificity	Low cancer specificity
MESP2	Cell type enhanced	Low cancer specificity
FAM25A	Not detected	Cancer enhanced
EYS	Group enriched	Not detected
C6orf132	Low cell type specificity	Low cancer specificity
DAZ1	Not detected	Not detected
OR2AG2	Low cell type specificity	Not detected
MAPK12	Cell type enriched	Low cancer specificity
TMEM215	Not detected	Cancer enriched
NUTM2G	Low cell type specificity	Not detected
COL4A5	Not detected	Low cancer specificity
KRTAP10.6	Not detected	Not detected
AGRN	Cell type enhanced	Low cancer specificity
NHS	Cell type enhanced	Low cancer specificity
OTOG	Not detected	Not detected
FAM166A	Not detected	Not detected
TMPPE	Cell type enhanced	Low cancer specificity
ZNF626	Low cell type specificity	Low cancer specificity
HEPACAM2	Not detected	Low cancer specificity
SMTNL2	Cell type enhanced	Cancer enhanced
ZC3H6	Low cell type specificity	Low cancer specificity
LAMTOR4	Cell type enhanced	Low cancer specificity
PRKAR1B	Low cell type specificity	Low cancer specificity
NUTM2B	Cell type enhanced	Not detected
NCR3LG1	Cell type enhanced	Low cancer specificity
DCUN1D3	Low cell type specificity	Low cancer specificity
POTEE	Not detected	Not detected
ZNF793	Low cell type specificity	Low cancer specificity
TUBB4B	Low cell type specificity	Low cancer specificity
AGAP4	Low cell type specificity	Low cancer specificity
COMMD6	Low cell type specificity	Low cancer specificity
PLA2G2A	Not detected	Cancer enhanced
IL17REL	Not detected	Low cancer specificity
HYKK	Cell type enhanced	Low cancer specificity
OR7A5	Low cell type specificity	Cancer enriched
C15orf62	Low cell type specificity	Low cancer specificity
RUFY4	Cell type enhanced	Low cancer specificity
ZNF383	Low cell type specificity	Low cancer specificity
HES4	Cell type enriched	Low cancer specificity
IGFL1	Not detected	Group enriched
ZNF669	Low cell type specificity	Low cancer specificity
PEAK3	Cell type enhanced	Low cancer specificity
LRRIQ4	Cell type enriched	Low cancer specificity
CENPP	Low cell type specificity	Low cancer specificity
PLSCR1	Low cell type specificity	Low cancer specificity
C3orf62	Cell type enriched	Low cancer specificity
ENO4	Cell type enhanced	Low cancer specificity
ZNF559	Low cell type specificity	Low cancer specificity
SBK1	Group enriched	Low cancer specificity
OR6C6	Low cell type specificity	Not detected
BSPH1	Not detected	Not detected
SLC38A3	Cell type enhanced	Cancer enriched
OR6N2	Cell type enriched	Not detected
GTF2F2	Low cell type specificity	Low cancer specificity
FAM92A	Cell type enhanced	Low cancer specificity
FOCAD	Low cell type specificity	Low cancer specificity
PRR19	Low cell type specificity	Low cancer specificity
ZP3	Low cell type specificity	Low cancer specificity
C10orf99	Not detected	Low cancer specificity
H3F3C	Cell type enhanced	Low cancer specificity
IFNA2	Cell type enriched	Not detected
JAKMIP3	Not detected	Low cancer specificity
PPP3R2	Not detected	Not detected
PDCD1	Group enriched	Low cancer specificity
CLEC2A	Not detected	Cancer enhanced
GPR21	Not detected	Not detected
TCTEX1D4	Cell type enriched	Low cancer specificity
SELL	Low cell type specificity	Low cancer specificity
MAGEB5	Not detected	Not detected
CHM	Low cell type specificity	Low cancer specificity
NANOS2	Not detected	Not detected
BLOC1S5	Low cell type specificity	Low cancer specificity
CERKL	Low cell type specificity	Low cancer specificity
SLC24A5	Not detected	Cancer enriched
IER5L	Cell type enhanced	Low cancer specificity
H2AFX	Low cell type specificity	Low cancer specificity
INSC	Cell type enhanced	Cancer enhanced
SERPINA5	Not detected	Cancer enhanced
C19orf54	Low cell type specificity	Low cancer specificity
LCTL	Cell type enhanced	Group enriched
NCCRP1	Cell type enhanced	Low cancer specificity
KRTDAP	Not detected	Group enriched
COL25A1	Not detected	Low cancer specificity
FAM83G	Low cell type specificity	Low cancer specificity
CFAP77	Not detected	Cancer enhanced
SRSF10	Low cell type specificity	Low cancer specificity
HBA2	Group enriched	Cancer enhanced
DUSP28	Low cell type specificity	Low cancer specificity
CCDC9B	Cell type enriched	Low cancer specificity
NBR1	Low cell type specificity	Low cancer specificity
OR2G6	Low cell type specificity	Not detected
RALGAPA2	Low cell type specificity	Low cancer specificity
NDOR1	Low cell type specificity	Low cancer specificity
FBLL1	Not detected	Low cancer specificity
NKAIN2	Cell type enriched	Low cancer specificity
KRTAP1.1	Not detected	Not detected
PAQR9	Not detected	Cancer enriched
CLEC20A	Group enriched	Not detected
CFAP54	Low cell type specificity	Not detected
CLN3	Low cell type specificity	Low cancer specificity
FAM72B	Cell type enhanced	Low cancer specificity
ASAH2	Low cell type specificity	Low cancer specificity
SUMO2	Low cell type specificity	Low cancer specificity
NANOS1	Cell type enhanced	Low cancer specificity
HMX3	Not detected	Low cancer specificity
IGFL3	Cell type enhanced	Cancer enhanced
GOLGA8M	Not detected	Cancer enhanced
ZNF177	Low cell type specificity	Not detected
RTL6	Low cell type specificity	Low cancer specificity
DPYD	Low cell type specificity	Low cancer specificity
S100A16	Cell type enriched	Low cancer specificity
PTAR1	Low cell type specificity	Low cancer specificity
CC2D2B	Low cell type specificity	Not detected
RNASE9	Not detected	Not detected
SAXO2	Cell type enhanced	Low cancer specificity
RHCE	Cell type enhanced	Low cancer specificity
C2orf80	Cell type enhanced	Cancer enriched
IDO2	Cell type enriched	Not detected
PARVB	Low cell type specificity	Low cancer specificity
SLC4A5	Low cell type specificity	Cancer enriched
UROS	Low cell type specificity	Low cancer specificity
OR56A5	Not detected	Not detected
KRTAP24.1	Not detected	Not detected
ZDHHC9	Low cell type specificity	Low cancer specificity
ZBED6CL	Low cell type specificity	Low cancer specificity
QRFP	Group enriched	Low cancer specificity
DUPD1	Not detected	Not detected
SMIM15	Low cell type specificity	Low cancer specificity
OSTN	Cell type enriched	Not detected
VWC2	Low cell type specificity	Not detected
FAM221A	Low cell type specificity	Low cancer specificity
TMEM120B	Low cell type specificity	Low cancer specificity
FSIP2	Not detected	Not detected
RBM34	Low cell type specificity	Low cancer specificity
NOXA1	Cell type enhanced	Low cancer specificity
TMEM198	Cell type enhanced	Low cancer specificity
BCL2L15	Cell type enhanced	Cancer enhanced
FZD9	Not detected	Cancer enhanced
SPRED3	Low cell type specificity	Cancer enhanced
OPTC	Not detected	Cancer enriched
PLET1	Not detected	Not detected
ADRB3	Low cell type specificity	Not detected
SKOR1	Not detected	Not detected
CATSPER4	Not detected	Not detected
PRELP	Low cell type specificity	Low cancer specificity
PLA2G2E	Not detected	Not detected
ZNF548	Low cell type specificity	Low cancer specificity
MTF1	Low cell type specificity	Low cancer specificity
TMCO2	Not detected	Not detected
SHISA6	Not detected	Low cancer specificity
TMEM201	Cell type enhanced	Low cancer specificity
NHLRC3	Low cell type specificity	Low cancer specificity
HMX2	Cell type enhanced	Cancer enhanced
SNTN	Low cell type specificity	Group enriched
ZDHHC11	Not detected	Low cancer specificity
CALHM6	Cell type enhanced	Low cancer specificity
CNR2	Group enriched	Cancer enriched
SLX4	Cell type enhanced	Low cancer specificity
GLRA4	Not detected	Not detected
ENTPD8	Not detected	Low cancer specificity
RPL14	Low cell type specificity	Low cancer specificity
BEND4	Group enriched	Group enriched
FAM78B	Cell type enriched	Low cancer specificity
ZNF563	Low cell type specificity	Low cancer specificity
TMC3	Low cell type specificity	Cancer enhanced
FBF1	Low cell type specificity	Low cancer specificity
KLRG2	Not detected	Cancer enriched
ASTL	Low cell type specificity	Low cancer specificity
MSL1	Cell type enriched	Low cancer specificity
AC099489.1	Cell type enriched	Not detected
LRRK2	Cell type enriched	Group enriched
BSX	Not detected	Not detected
GJB3	Not detected	Low cancer specificity
FAM196A	Cell type enriched	Group enriched
TRMT2B	Low cell type specificity	Low cancer specificity
HACD4	Low cell type specificity	Low cancer specificity
CFAP126	Cell type enhanced	Not detected
NYX	Not detected	Not detected
FAM120AOS	Low cell type specificity	Low cancer specificity
UTS2B	Cell type enhanced	Not detected
C9orf152	Cell type enhanced	Low cancer specificity
NOC2L	Low cell type specificity	Low cancer specificity
MSANTD1	Cell type enhanced	Not detected
AADACL3	Not detected	Not detected
NELFB	Low cell type specificity	Low cancer specificity
SLC15A5	Not detected	Not detected
LIPI	Not detected	Cancer enriched
LRRC66	Not detected	Low cancer specificity
ZNF292	Low cell type specificity	Low cancer specificity
HUS1B	Low cell type specificity	Low cancer specificity
KCTD21	Low cell type specificity	Low cancer specificity
SBSN	Not detected	Group enriched
ADAT2	Low cell type specificity	Low cancer specificity
KIR2DL4	Cell type enriched	Low cancer specificity
MAGEB16	Not detected	Cancer enhanced
VHLL	Not detected	Not detected
DUSP21	Not detected	Not detected
ZNF567	Low cell type specificity	Low cancer specificity
NDUFA4	Low cell type specificity	Low cancer specificity
ANKDD1B	Group enriched	Low cancer specificity
ALKBH2	Low cell type specificity	Low cancer specificity
RNFT1	Low cell type specificity	Low cancer specificity
RNF222	Low cell type specificity	Cancer enhanced
CGB5	Not detected	Cancer enhanced
RELN	Not detected	Cancer enhanced
FAM111B	Cell type enhanced	Low cancer specificity
APOD	Cell type enriched	Cancer enhanced
H1F0	Low cell type specificity	Low cancer specificity
GAGE2A	Low cell type specificity	Low cancer specificity
LITAF	Cell type enriched	Low cancer specificity
VSTM1	Cell type enriched	Low cancer specificity
TMEM120A	Cell type enhanced	Low cancer specificity
ARID2	Low cell type specificity	Low cancer specificity
FAM25G	Not detected	Not detected
SF3B3	Low cell type specificity	Low cancer specificity
PRSS48	Not detected	Not detected
IL1RAPL2	Not detected	Not detected
BLOC1S3	Low cell type specificity	Low cancer specificity
SP6	Not detected	Low cancer specificity
ANKRD34B	Cell type enriched	Cancer enhanced
PLAC9	Group enriched	Low cancer specificity
FAM47B	Not detected	Not detected
NKAPL	Low cell type specificity	Low cancer specificity
FSCB	Not detected	Not detected
CLDN4	Not detected	Low cancer specificity
ZNF573	Low cell type specificity	Low cancer specificity
GRAPL	Cell type enhanced	Not detected
FAM47E	Group enriched	Low cancer specificity
JPT1	Cell type enhanced	Low cancer specificity
ZNF527	Low cell type specificity	Low cancer specificity
ZAR1L	Not detected	Not detected
KRTAP10.12	Not detected	Not detected
S100A13	Cell type enhanced	Low cancer specificity
ZNF33A	Low cell type specificity	Low cancer specificity
OR14I1	Not detected	Not detected
KRT77	Not detected	Low cancer specificity
PCDH18	Group enriched	Low cancer specificity
DCAF8L2	Not detected	Not detected
ZNF600	Cell type enhanced	Low cancer specificity
BTBD8	Low cell type specificity	Not detected
MAOA	Cell type enhanced	Low cancer specificity
C15orf61	Low cell type specificity	Low cancer specificity
NUGGC	Low cell type specificity	Cancer enriched
TSPYL1	Low cell type specificity	Low cancer specificity
SPANXN3	Not detected	Not detected
TRIM64B	Cell type enriched	Not detected
PNRC2	Low cell type specificity	Low cancer specificity
DRICH1	Cell type enhanced	Low cancer specificity
GJB5	Not detected	Group enriched
FHIT	Cell type enriched	Low cancer specificity
ALKAL2	Low cell type specificity	Low cancer specificity
ZKSCAN3	Low cell type specificity	Low cancer specificity
FOXR2	Not detected	Cancer enhanced
RRP7A	Low cell type specificity	Low cancer specificity
LIN54	Low cell type specificity	Low cancer specificity
FAM53B	Low cell type specificity	Low cancer specificity
FAM180A	Cell type enhanced	Low cancer specificity
C6orf222	Cell type enhanced	Group enriched
SPANXN4	Cell type enriched	Not detected
S100A14	Cell type enriched	Low cancer specificity
KAZN	Cell type enriched	Low cancer specificity
SLC35E2B	Low cell type specificity	Low cancer specificity
TOGARAM2	Cell type enhanced	Not detected
SPATA31D4	Not detected	Not detected
NEMP2	Low cell type specificity	Low cancer specificity
ALG1L	Low cell type specificity	Low cancer specificity
KIAA0408	Not detected	Not detected
GSPT2	Low cell type specificity	Low cancer specificity
TBC1D28	Not detected	Not detected
C8orf76	Low cell type specificity	Low cancer specificity
CXCL17	Cell type enhanced	Low cancer specificity
OTUD6A	Cell type enhanced	Cancer enriched
HMGB1	Low cell type specificity	Low cancer specificity
MMP23B	Cell type enriched	Cancer enhanced
SH2D5	Not detected	Cancer enhanced
ZFP92	Cell type enhanced	Cancer enhanced
NCR1	Cell type enhanced	Cancer enhanced
RASSF10	Not detected	Low cancer specificity
GJB4	Not detected	Low cancer specificity
OR2L13	Cell type enhanced	Not detected
BLOC1S2	Low cell type specificity	Low cancer specificity
SYCP2	Low cell type specificity	Group enriched
ZNF724	Low cell type specificity	Low cancer specificity
IL1RAP	Cell type enriched	Low cancer specificity
PTPRT	Not detected	Cancer enhanced
MYBPC1	Cell type enriched	Cancer enhanced
PAX5	Group enriched	Low cancer specificity
OR5K4	Not detected	Not detected
OR6M1	Not detected	Not detected
SPOCK3	Group enriched	Cancer enhanced
ZNF676	Not detected	Cancer enriched
ZNF699	Low cell type specificity	Low cancer specificity
TDRD7	Low cell type specificity	Low cancer specificity
CCDC189	Cell type enhanced	Low cancer specificity
OR8A1	Low cell type specificity	Not detected
KIAA0895L	Cell type enhanced	Low cancer specificity
HLA.DRB1	Cell type enhanced	Low cancer specificity
VN1R2	Low cell type specificity	Not detected
MYT1	Not detected	Cancer enhanced
SERPINA3	Not detected	Low cancer specificity
AKR1C3	Cell type enhanced	Low cancer specificity
SPATS2L	Low cell type specificity	Low cancer specificity
ZNF250	Low cell type specificity	Low cancer specificity
WDSUB1	Low cell type specificity	Low cancer specificity
ZNF79	Low cell type specificity	Low cancer specificity
S100A4	Low cell type specificity	Low cancer specificity
PLEKHG4	Cell type enhanced	Low cancer specificity
KRTAP4.3	Cell type enriched	Not detected
FAT4	Cell type enriched	Low cancer specificity
C8orf86	Low cell type specificity	Not detected
KIF19	Cell type enhanced	Low cancer specificity
OR6K2	Not detected	Not detected
ZNF681	Low cell type specificity	Low cancer specificity
ACADSB	Low cell type specificity	Low cancer specificity
STK40	Cell type enhanced	Low cancer specificity
OR10J1	Low cell type specificity	Not detected
TMEM63A	Low cell type specificity	Low cancer specificity
CTSE	Not detected	Group enriched
SEMA4A	Group enriched	Low cancer specificity
HRCT1	Not detected	Low cancer specificity
MPHOSPH8	Low cell type specificity	Low cancer specificity
GREB1	Low cell type specificity	Cancer enhanced
SIRPB2	Group enriched	Low cancer specificity
ZNF766	Low cell type specificity	Low cancer specificity
RYR1	Group enriched	Low cancer specificity
SRGAP3	Low cell type specificity	Low cancer specificity
KRTAP5.3	Not detected	Not detected
FAM217B	Low cell type specificity	Low cancer specificity
SULT1C3	Not detected	Cancer enhanced
TUBB	Low cell type specificity	Low cancer specificity
LCOR	Low cell type specificity	Low cancer specificity
SUPT5H	Low cell type specificity	Low cancer specificity
XPNPEP3	Low cell type specificity	Low cancer specificity
OR2T2	Cell type enhanced	Not detected
OR2C3	Group enriched	Not detected
ZNF107	Low cell type specificity	Low cancer specificity
OR10S1	Not detected	Not detected
SFTA2	Low cell type specificity	Cancer enhanced
PPIA	Low cell type specificity	Low cancer specificity
ZNF471	Low cell type specificity	Low cancer specificity
OR10J3	Not detected	Not detected
ZNF836	Low cell type specificity	Low cancer specificity
ZNF493	Low cell type specificity	Low cancer specificity
GTF2IRD2	Low cell type specificity	Low cancer specificity
GRM7	Not detected	Not detected
SUPT3H	Low cell type specificity	Low cancer specificity
BECN2	Not detected	Not detected
NIF3L1	Low cell type specificity	Low cancer specificity
ATP2A1	Cell type enhanced	Cancer enhanced
IARS	Low cell type specificity	Low cancer specificity
MFSD14C	Cell type enhanced	Low cancer specificity
POM121	Low cell type specificity	Low cancer specificity
ZBTB44	Low cell type specificity	Low cancer specificity
GIMAP5	Low cell type specificity	Low cancer specificity
STK31	Not detected	Low cancer specificity
CGB7	Not detected	Not detected
NLGN3	Cell type enriched	Cancer enriched
OR8D1	Cell type enhanced	Not detected
ADH7	Not detected	Group enriched
ZKSCAN7	Low cell type specificity	Low cancer specificity
ZNF729	Not detected	Cancer enriched
CD55	Cell type enhanced	Low cancer specificity
CPNE4	Cell type enhanced	Cancer enriched
ZNF565	Low cell type specificity	Low cancer specificity
NTNG2	Cell type enriched	Low cancer specificity
ELAVL3	Cell type enhanced	Cancer enriched
WDR5	Low cell type specificity	Low cancer specificity
LONP1	Low cell type specificity	Low cancer specificity
TRRAP	Low cell type specificity	Low cancer specificity
NUDT11	Group enriched	Cancer enhanced
SRGAP2B	Low cell type specificity	Low cancer specificity
FUT4	Low cell type specificity	Low cancer specificity
ASB13	Low cell type specificity	Low cancer specificity
SLC35F1	Cell type enhanced	Group enriched
ZNF34	Low cell type specificity	Low cancer specificity
ZNF781	Low cell type specificity	Low cancer specificity
ZNF140	Low cell type specificity	Low cancer specificity
INCA1	Low cell type specificity	Low cancer specificity
ZNF774	Low cell type specificity	Low cancer specificity
PTPN1	Low cell type specificity	Low cancer specificity
EVL	Low cell type specificity	Low cancer specificity
SPANXD	Not detected	Not detected
THEM5	Cell type enhanced	Low cancer specificity
NOXO1	Cell type enhanced	Not detected
EPHB4	Cell type enhanced	Low cancer specificity
PRTN3	Cell type enriched	Cancer enhanced
ZNF765	Low cell type specificity	Low cancer specificity
ZNF124	Low cell type specificity	Low cancer specificity
XRCC6	Low cell type specificity	Low cancer specificity
S100A5	Low cell type specificity	Group enriched
C20orf204	Cell type enhanced	Cancer enriched
PPP1R26	Cell type enhanced	Low cancer specificity
NBPF4	Not detected	Cancer enriched
TSC22D2	Low cell type specificity	Low cancer specificity
CRYBA4	Cell type enhanced	Cancer enhanced
ASMT	Group enriched	Not detected
NPIPB15	Cell type enriched	Low cancer specificity
ZNF569	Low cell type specificity	Low cancer specificity
ARMCX4	Not detected	Low cancer specificity
YRDC	Cell type enriched	Low cancer specificity
ZNF777	Cell type enhanced	Low cancer specificity
PIK3R4	Low cell type specificity	Low cancer specificity
ZNF775	Low cell type specificity	Low cancer specificity
ZNF605	Low cell type specificity	Low cancer specificity
TRAPPC2	Low cell type specificity	Low cancer specificity
RFX8	Cell type enriched	Low cancer specificity
MYL6B	Cell type enhanced	Low cancer specificity
ZNF799	Low cell type specificity	Low cancer specificity
FGF16	Not detected	Not detected
SIAH1	Low cell type specificity	Low cancer specificity
GK2	Not detected	Not detected
C20orf96	Low cell type specificity	Low cancer specificity
ESRRG	Cell type enhanced	Low cancer specificity
IPO4	Low cell type specificity	Low cancer specificity
NCOR2	Cell type enhanced	Low cancer specificity
SULT1A1	Group enriched	Low cancer specificity
ARL9	Low cell type specificity	Low cancer specificity
PRPF40A	Low cell type specificity	Low cancer specificity
GDAP2	Low cell type specificity	Low cancer specificity
TCEAL3	Low cell type specificity	Low cancer specificity
ANAPC7	Low cell type specificity	Low cancer specificity
TPK1	Low cell type specificity	Low cancer specificity
SLC6A9	Cell type enhanced	Low cancer specificity
AFAP1	Cell type enhanced	Low cancer specificity
NACA	Low cell type specificity	Low cancer specificity
MYO18A	Low cell type specificity	Low cancer specificity
OR2T3	Not detected	Not detected
